,City,Country code,Latitude,Longitude,Temperature,Wind speed,Humidity,Cloudiness
0,butaritari,ki,3.07,172.79,77.846,1.61,100.0,92.0
1,borogontsy,ru,62.67,131.17,33.746,4.46,98.0,92.0
2,tasiilaq,gl,65.61,-37.64,33.8,4.1,74.0,75.0
3,manado,id,1.49,124.85,72.80600000000001,0.81,98.0,8.0
4,nishihara,jp,35.74,139.53,63.878,1.91,77.0,40.0
5,codrington,ag,-28.95,153.24,52.826,2.66,68.0,0.0
6,solaro,it,44.35,9.32,66.2,2.1,82.0,75.0
8,daru,pg,7.99,-10.85,83.24600000000001,2.76,81.0,64.0
10,martapura,id,-3.41,114.85,80.456,3.01,91.0,32.0
11,callaway,us,46.98,-95.91,53.24,2.06,53.0,1.0
12,ocala,us,29.19,-82.14,76.118,1.5,73.0,1.0
13,duki,pk,30.15,68.58,81.986,1.41,19.0,68.0
14,henties bay,na,-22.12,14.28,65.426,4.11,86.0,0.0
15,nanortalik,gl,60.14,-45.24,34.826,13.11,93.0,92.0
16,port-gentil,ga,-0.72,8.78,86.0,5.7,74.0,40.0
17,chapais,ca,49.78,-74.86,37.4,4.6,51.0,75.0
18,curup,id,-3.47,102.53,70.646,0.86,96.0,56.0
19,bambous virieux,mu,-20.34,57.76,77.0,1.0,78.0,20.0
20,corinto,ni,-18.36,-44.46,81.896,2.16,62.0,8.0
21,shingu,jp,33.72,135.99,65.60600000000001,4.81,96.0,76.0
23,cefalu,it,38.04,14.02,72.35600000000001,1.31,50.0,0.0
24,fatwa,in,25.52,85.32,89.6,5.1,66.0,68.0
25,nizwa,om,22.93,57.53,90.80600000000001,1.41,24.0,0.0
26,mandiana,gn,10.62,-8.7,94.946,3.51,36.0,56.0
27,tiksi,ru,71.64,128.87,10.328000000000003,1.76,80.0,80.0
28,twentynine palms,us,34.14,-116.05,65.03,3.6,36.0,1.0
30,grand-lahou,ci,5.24,-5.0,80.996,1.91,86.0,92.0
31,kapaa,us,22.08,-159.32,69.422,5.1,94.0,75.0
32,amapa,br,15.09,-87.97,80.6,1.06,94.0,40.0
33,barra do garcas,br,-15.89,-52.26,88.376,1.96,53.0,0.0
34,guozhen,cn,29.3,113.14,68.21600000000001,1.46,99.0,32.0
35,tezu,in,27.93,96.16,63.626,0.71,72.0,80.0
36,constitucion,mx,23.99,-104.67,62.6,4.6,63.0,5.0
37,salalah,om,17.01,54.1,87.8,6.2,74.0,0.0
38,izmit,tr,40.76,29.93,64.4,5.1,55.0,40.0
39,notre-dame-du-lac,ca,47.61,-68.8,44.6,4.6,33.0,1.0
40,samfya,zm,-11.37,29.56,83.426,2.16,35.0,0.0
42,aksarka,ru,66.56,67.8,20.588,5.41,87.0,0.0
